"country","total_points","AUT","BEL","BIH","CRO","CYP","DEN","EST","FIN","FRA","GER","GRE","ISR","LAT","LTU","MLT","MKD","ROU","RUS","SLO","ESP","SWE","SWI","TUR","GBR","","","","",""
"Latvia","176","10","8","5","2","4","7","12","6","8","12","10","12","","12","7","7","","10","5","12","5","8","6","8","","","","",""
"Malta","164","8","7","4","12","10","12","7","2","6","10","6","10","7","3","","10","","5","10","10","4","4","5","12","","","","",""
"United Kingdom","111","12","6","7","","","6","6","8","1","8","7","5","5","8","10","4","","","8","","2","6","2","","","","","",""
"Estonia","111","3","4","10","5","","8","","10","","4","","2","12","7","2","6","2","3","6","","12","","8","7","","","","",""
"France","104","","10","8","","","5","3","12","","6","3","7","2","5","","","4","","3","8","8","10","","10","","","","",""
"Cyprus","85","","3","","10","","","4","4","","","12","","8","4","12","","8","6","4","6","1","","","3","","","","",""
"Spain","81","","12","6","6","7","","","","12","7","4","6","","","","","","","","","7","12","","2","","","","",""
"Sweden","72","4","1","12","","","10","8","7","","","1","3","4","10","","","","","7","","","","4","1","","","","",""
"Romania","71","","","","","8","","","","4","1","8","8","","","6","12","","12","","5","","","7","","","","","",""
"Russia","55","","","","","5","","10","3","","","2","1","10","6","8","","10","","","","","","","","","","","",""
"Croatia","44","6","","2","","6","","","","","3","5","","","","","5","","","12","","","5","","","","","","",""
"Israel","37","","2","","","","1","","5","10","5","","","3","","","","5","","","","","1","","5","","","","",""
"Bosnia Herzegovina","33","7","","","7","","2","","","","","","","","","3","3","","","2","3","6","","","","","","","",""
"Belgium","33","","","","","","4","","","2","","","","","2","","","","7","","1","3","","10","4","","","","",""
"Slovenia","33","2","","1","8","","","","","5","","","","","","","2","","","","7","","2","","6","","","","",""
"Turkey","29","","","","3","","","","","7","","","","","","","8","7","","","4","","","","","","","","",""
"Greece","27","","","","1","12","","","","","","","","","","","","6","8","","","","","","","","","","",""
"Austria","26","","5","","","1","","","","","","","","","","","","","1","","","","7","12","","","","","",""
"North Macedonia","25","","","","4","3","","","1","","","","","","","5","","12","","","","","","","","","","","",""
"Finland","24","","","3","","2","3","5","","","","","","","","","1","","","","","10","","","","","","","",""
"Germany","17","1","","","","","","1","","","","","","","","4","","1","2","","2","","3","3","","","","","",""
"Switzerland","15","5","","","","","","","","3","2","","","1","","","","3","","1","","","","","","","","","",""
"Lithuania","12","","","","","","","2","","","","","","6","","","","","4","","","","","","","","","","",""
"Denmark","7","","","","","","","","","","","","4","","1","1","","","","","","","","1","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
