"country","total_points","AUT","BEL","BIH","CRO","CYP","EST","FRA","GER","GRE","ISL","IRL","ISR","LVA","MLT","NED","NOR","POL","POR","ROU","RUS","SLO","ESP","SWE","TUR","UKR","GBR"
"Turkey","167","12","12","12","10","8","","10","10","7","3","","7","","4","12","10","2","8","10","","10","3","8","","2","7"
"Belgium","165","4","","10","","3","8","12","6","8","7","10","8","10","","10","3","12","6","8","3","3","12","","7","10","5"
"Russia","164","8","7","3","12","10","12","7","8","10","4","","10","12","1","1","2","4","4","7","","12","6","2","10","12",""
"Norway","123","2","6","","","","10","3","7","","12","12","3","7","6","7","","6","5","3","4","5","","12","","7","6"
"Sweden","107","3","4","1","2","1","7","2","3","","5","","5","6","8","3","7","7","3","12","","6","7","","","5","10"
"Austria","101","","2","5","5","4","6","","2","2","10","","","4","","8","8","","10","","","7","8","6","6","","8"
"Poland","90","10","5","","","","4","5","12","6","","","","8","10","4","4","","","4","","","5","3","","8","2"
"Iceland","81","","3","","6","5","1","1","1","","","7","","3","12","6","12","1","","","","4","","7","8","4",""
"Spain","81","","10","","7","6","","","","5","6","","12","","","5","","","12","5","6","1","","4","2","",""
"Romania","73","6","","7","1","2","","4","4","4","","","6","","","","1","8","","","12","","10","1","1","6",""
"Ireland","53","","1","","4","7","","","","","2","","","1","5","","6","","7","","","2","","","5","1","12"
"Germany","53","1","","","","","2","","","","8","4","","2","3","2","","5","","1","7","","4","10","","","4"
"Netherlands","45","","8","2","","","","","","","","5","2","","7","","5","","","","10","","","5","","","1"
"Ukraine","30","","","","","","3","","","","","","4","5","","","","10","","","8","","","","","",""
"Croatia","29","5","","6","","","","","","1","","6","","","","","","","","","","8","","","3","",""
"Bosnia Herzegovina","27","7","","","8","","","","","","","","","","","","","","","","","","","","12","",""
"Greece","25","","","","","12","","","5","","","1","","","","","","","","2","1","","","","4","",""
"France","19","","","8","","","","","","","","","","","","","","3","2","6","","","","","","",""
"Israel","17","","","","","","","8","","3","","","","","","","","","","","5","","1","","","",""
"Cyprus","15","","","","","","","","","12","","","1","","2","","","","","","","","","","","",""
"Estonia","14","","","","","","","","","","1","8","","","","","","","","","2","","","","","","3"
"Portugal","13","","","","","","","6","","","","2","","","","","","","","","","","2","","","3",""
"Slovenia","7","","","4","3","","","","","","","","","","","","","","","","","","","","","",""
"Latvia","5","","","","","","5","","","","","","","","","","","","","","","","","","","",""
"Malta","4","","","","","","","","","","","3","","","","","","","1","","","","","","","",""
"United Kingdom","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
