"country","total_points","ALB","AND","AUT","BLR","BEL","BIH","CRO","CYP","DEN","EST","FIN","FRA","GER","GRE","ISL","IRL","ISR","LVA","LTU","MLT","MON","NED","MKD","NOR","POL","POR","ROU","RUS","SRB","SLO","ESP","SWE","SWI","TUR","UKR","GBR"
"Ukraine","280","5","10","4","10","5","6","8","8","5","12","8","2","6","7","12","7","12","12","12","8","6","7","8","7","12","10","6","12","10","8","8","10","","12","","5"
"Serbia & Montenegro","263","7","2","12","7","3","12","12","10","7","1","10","10","10","8","7","3","7","5","2","6","1","10","10","6","5","7","8","10","","12","6","12","12","8","12","3"
"Greece","252","12","8","2","6","8","5","7","12","3","5","6","6","7","","6","5","10","7","10","12","10","6","7","2","7","6","12","7","7","6","7","4","4","10","8","12"
"Turkey","195","8","3","8","3","12","7","3","4","10","","5","12","12","6","5","1","2","2","3","","8","12","6","8","8","","10","8","2","","2","5","8","","6","6"
"Cyprus","170","","4","6","8","4","","4","","6","7","7","5","8","12","10","10","3","4","5","7","2","8","","4","4","3","3","6","3","1","3","6","2","1","4","10"
"Sweden","170","4","5","1","4","2","2","","5","12","10","12","3","3","","8","12","5","8","6","5","","","2","12","10","5","7","3","4","2","5","","","3","2","8"
"Albania","106","","","5","","1","4","6","","4","","3","1","5","10","4","2","","1","","10","","1","12","3","","","1","","8","4","","7","7","6","","1"
"Germany","93","2","","10","","","3","1","","","2","","7","","","","4","","","1","","7","3","","1","6","8","4","","","3","12","","10","5","","4"
"Bosnia Herzegovina","91","10","","7","","","","10","","8","","","","","","","","","","","","4","2","4","10","","","","","6","10","","8","5","7","",""
"Spain","87","","12","","2","7","","","7","","","","8","2","3","1","","8","","","3","3","4","1","","1","12","5","","","","","","6","2","",""
"Russia","67","","","","12","","","","6","","8","4","","","2","","","6","10","8","","","","","","","","","","1","","","","","","10",""
"Malta","50","3","6","","","","1","2","","1","6","","","","1","","6","4","6","4","","","","3","","3","1","","","","","","","","","1","2"
"Croatia","50","","","3","5","","10","","","","","1","","1","","","","","","","","","","5","","","","","5","5","5","","","3","","7",""
"North Macedonia","47","6","","","","","8","5","","","","","","","","","","","","","1","","","","","","","","","12","7","","","1","4","3",""
"France","40","1","7","","","10","","","","","","","","","","","","","","","","12","","","","","2","","4","","","4","","","","",""
"United Kingdom","29","","","","1","","","","","","4","","","","","2","8","","3","","4","","","","","2","","2","1","","","","2","","","",""
"Poland","27","","","","","","","","2","","","","","4","4","3","","","","7","","","","","","","","","","","","1","1","","","5",""
"Romania","18","","","","","","","","3","","","","","","","","","1","","","","","","","","","4","","","","","10","","","","",""
"Iceland","16","","","","","","","","","2","","2","","","","","","","","","","5","","","5","","","","2","","","","","","","",""
"Netherlands","11","","","","","6","","","","","3","","","","","","","","","","2","","","","","","","","","","","","","","","",""
"Austria","9","","","","","","","","","","","","4","","5","","","","","","","","","","","","","","","","","","","","","",""
"Belgium","7","","1","","","","","","1","","","","","","","","","","","","","","5","","","","","","","","","","","","","",""
"Ireland","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7"
"Norway","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","",""
