"country","total_points","ALB","AND","AUT","BLR","BEL","BIH","BUL","CRO","CYP","DEN","EST","FIN","FRA","GER","GRE","HUN","ISL","IRL","ISR","LVA","LTU","MLT","MDA","MON","NED","MKD","NOR","POL","POR","ROU","RUS","SRB","SLO","ESP","SWE","SWI","TUR","UKR","GBR"
"Greece","230","12","4","4","","12","6","12","5","12","2","","3","8","12","","12","2","2","7","","1","6","4","","10","7","4","1","3","10","4","12","2","8","12","7","12","","12"
"Malta","192","4","","5","5","8","","","4","6","10","4","8","7","8","8","5","4","10","10","5","2","","","5","5","","10","","","2","12","","1","7","6","3","8","10","10"
"Romania","158","5","7","6","1","7","2","8","","8","3","","","5","","5","10","5","5","12","","","7","7","4","3","2","6","7","12","","","3","","12","2","","4","",""
"Israel","154","3","8","1","8","6","","","","","5","1","5","10","5","","8","","6","","2","3","8","6","12","7","","5","","5","7","8","","","6","1","1","3","7","7"
"Latvia","153","","10","","6","5","","","7","1","6","10","4","","7","1","1","3","12","6","","12","10","12","","","","8","4","6","","5","","7","","3","","","1","6"
"Moldova","148","","","2","7","1","4","6","1","2","","6","","2","1","7","4","8","","4","8","10","2","","","","5","","3","10","12","10","5","3","4","","","7","12","2"
"Serbia","137","6","","12","3","","10","4","12","10","","","","6","3","6","2","","","","1","","","1","6","4","10","","","","6","6","","10","","4","12","","3",""
"Switzerland","128","","1","","10","","","","3","4","1","12","10","","4","3","3","7","3","2","12","8","1","","8","","","3","6","4","","7","","6","","5","","","5",""
"Norway","125","","2","","4","3","3","1","","3","12","8","12","","","4","","12","4","1","6","5","5","3","","1","","","8","","","","2","4","3","8","","","6","5"
"Denmark","125","","3","","","4","","","","","","5","2","","6","","6","10","7","3","4","4","3","","10","8","","12","5","1","4","","","","10","10","","","","8"
"Croatia","115","2","","8","","","12","2","","","","2","1","","2","","7","1","","","7","6","","","7","2","8","2","2","","5","1","10","12","","","8","","8",""
"Hungary","97","","6","","2","2","1","5","6","7","","3","","3","","2","","6","","8","3","","","","","","1","","10","2","8","3","6","","5","","","6","2",""
"Turkey","92","8","","7","","10","8","3","","","8","","","12","10","","","","","","","","","","","12","4","","","","3","","","","","","6","","","1"
"Bosnia Herzegovina","79","","","10","","","","","10","","4","","","","","","","","1","","","","","","","6","3","7","","","","","4","8","","7","5","10","","4"
"Russia","57","","","","12","","","","","","","7","7","","","","","","","","10","7","","10","","","","","","","","","","","","","","","4",""
"Albania","53","","","3","","","5","","2","","","","","1","","10","","","","","","","","","","","12","","","","","","8","","","","10","2","",""
"North Macedonia","52","10","","","","","7","7","8","","","","","","","","","","","","","","","","1","","","","","","","","7","5","","","2","5","",""
"Cyprus","46","7","","","","","","10","","","","","","","","12","","","","","","","12","","","","","","","","1","","1","","","","","","","3"
"Sweden","30","","","","","","","","","","7","","6","","","","","","","","","","","5","3","","6","1","","","","","","","2","","","","",""
"Ukraine","30","","","","","","","","","","","","","","","","","","","","","","","8","","","","","12","7","","2","","","1","","","","",""
"Spain","28","","12","","","","","","","","","","","4","","","","","","","","","","","","","","","","8","","","","","","","4","","",""
"United Kingdom","18","","","","","","","","","5","","","","","","","","","8","","","","4","","","","","","","","","","","","","","","1","",""
"France","11","1","5","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","",""
"Germany","4","","","","","","","","","","","","","","","","","","","","","","","2","2","","","","","","","","","","","","","","",""
