"country","total_points","ALB","AND","ARM","AZE","BLR","BEL","BIH","BUL","CRO","CYP","CZE","DEN","EST","FIN","FRA","GER","GRE","HUN","ISL","IRL","ISR","LVA","LTU","MLT","MDA","MNE","NED","MKD","NOR","POL","POR","ROU","RUS","SRB","SVK","SLO","ESP","SWE","SWI","TUR","UKR","GBR"
"Norway","387","7","10","8","8","12","10","10","2","8","10","3","12","12","8","8","12","10","12","12","8","12","12","12","8","8","10","12","8","","12","5","5","12","10","10","12","12","12","8","3","12","10"
"Iceland","218","6","8","5","","2","","","5","2","5","2","10","8","10","","7","4","7","","12","10","8","8","12","3","5","7","2","12","1","8","10","3","","6","5","","10","5","2","","8"
"Azerbaijan","207","4","","1","","10","3","3","8","10","8","10","8","7","2","1","","8","10","","","6","4","5","1","10","6","10","3","10","6","","4","7","4","4","1","","8","","12","10","3"
"Turkey","177","10","","4","12","","12","7","10","1","","1","6","","5","12","10","3","5","","","3","","","5","","3","8","12","7","","3","6","","","","","2","6","12","","","12"
"United Kingdom","173","8","4","7","","3","","4","7","4","7","6","3","","","4","8","12","1","","10","4","2","3","10","1","","3","6","2","4","10","","6","8","7","3","10","","","","6",""
"Estonia","129","","","","4","4","","","","6","3","","5","","12","","1","5","6","10","6","","10","10","","7","","","","","8","","1","8","","12","","","7","","","4",""
"Greece","120","12","","10","","5","5","5","12","7","12","","","","","","6","","4","","","","","","7","","2","1","","","","","8","4","6","","4","1","2","2","","","5"
"France","107","2","3","6","","7","1","6","","","","","2","","4","","3","6","","6","3","5","5","6","","","1","6","","1","","","","10","3","","7","3","","7","","3","1"
"Bosnia Herzegovina","106","5","","","2","","","","4","12","","","","","6","","2","","","2","","","","","","","12","4","10","","","","","","12","8","10","","5","4","8","",""
"Armenia","92","","","","","1","7","","6","","4","12","","","1","6","","","","5","","8","","","","","","5","1","","2","4","7","5","","3","","4","3","","6","2",""
"Russia","91","","","12","6","8","","","","","1","8","","10","","","5","","","","","7","6","7","","6","","","","","3","","","","","","","","","","4","8",""
"Ukraine","76","","","3","10","6","","","","","","5","","","","","","","8","","","2","","4","2","4","","","","5","10","6","","2","","1","","6","","","","","2"
"Denmark","74","","5","","","","","","","","6","","","","","5","","","3","4","4","","3","2","6","5","","","","8","7","","2","","1","","8","","","","","5",""
"Moldova","69","","","2","7","","4","","","3","","","","","","","","","","","","1","","","","","","","","3","5","12","12","1","","","","5","","","7","7",""
"Portugal","57","","6","","","","6","1","","","","7","","3","","7","","","","7","","","","","","","","","","","","","","","","2","","8","","10","","",""
"Israel","53","","7","","","","8","8","","","","4","","5","","10","","","","","","","","","","","4","","","","","","","","","5","","","","1","","1",""
"Albania","48","","","","","","","","","5","","","","1","","","","7","2","","","","","","","","7","","7","","","","","","","","2","","1","6","10","",""
"Croatia","45","","","","5","","","12","","","","","","","","","","2","","1","","","","","","2","8","","4","","","","","","5","","6","","","","","",""
"Romania","40","","","","3","","","","","","2","","","","","","","","","","2","","","","","12","","","5","","","2","","","2","","","7","","","5","",""
"Germany","35","3","","","","","2","2","","","","","7","","","3","","","","","1","","","","","","","2","","6","","1","","","","","","","","","1","","7"
"Sweden","33","1","2","","","","","","","","","","4","6","7","2","","","","3","","","","","4","","","","","4","","","","","","","","","","","","",""
"Malta","31","","1","","","","","","","","","","","","3","","4","","","","5","","1","1","","","","","","","","","3","","7","","","","","","","","6"
"Lithuania","23","","","","1","","","","1","","","","1","2","","","","","","","7","","7","","","","","","","","","","","","","","","","","","","","4"
"Spain","23","","12","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","7","","","","","","","","3","","",""
"Finland","22","","","","","","","","3","","","","","4","","","","","","8","","","","","3","","","","","","","","","","","","","","4","","","",""
