"country","total_points","ALB","ARM","AZE","BLR","BEL","BIH","BUL","CRO","CYP","DEN","EST","FIN","FRA","GEO","GER","GRE","ISL","IRL","ISR","LVA","LTU","MLT","MDA","NED","MKD","NOR","POL","POR","ROU","RUS","SRB","SVK","SLO","ESP","SWE","SWI","TUR","UKR","GBR"
"Germany","246","10","","1","","10","8","3","6","4","12","12","12","3","","","2","3","8","","12","10","4","","4","8","12","7","1","3","6","8","12","10","12","12","12","10","5","4"
"Turkey","170","8","","12","3","6","10","10","12","","6","6","3","12","5","10","","","1","","","4","","","8","10","2","","","8","","3","","2","3","5","3","","8","10"
"Romania","162","5","1","7","1","","2","","","8","8","","","","","","4","5","7","8","3","2","5","12","5","","10","6","10","","3","6","1","7","10","10","4","2","2","8"
"Denmark","149","2","5","4","","2","","","2","","","5","2","","","","","12","12","4","10","3","8","","2","2","8","12","4","12","1","","7","12","4","8","","","","6"
"Azerbaijan","145","","","","6","5","7","12","","10","2","","","","8","","1","4","3","7","2","","12","7","","3","7","8","","","8","","","","7","","2","12","12",""
"Belgium","143","","","","","","","","","","10","3","6","7","","12","6","10","10","","4","7","10","","6","","3","10","5","4","5","5","10","","","2","7","","1",""
"Armenia","141","","","","5","7","","8","","7","","","","6","10","7","7","","","12","1","","","6","12","4","","5","","6","12","1","4","","8","1","","6","6",""
"Greece","140","12","3","","","12","6","5","","12","","","7","4","","8","","8","","","","","7","2","3","","","1","8","7","","10","5","","5","","","3","","12"
"Georgia","136","","12","8","7","4","4","6","7","5","","8","","","","","5","2","5","5","","12","","5","","5","1","4","","","10","","","1","1","6","1","5","7",""
"Ukraine","108","","8","10","10","","","7","","6","","","","2","7","","","","","2","7","6","","8","7","","","3","","5","7","7","","","","","","1","","5"
"Russia","90","","10","3","12","","","","","","","10","","","","","","","","10","8","5","","10","","","","","2","","","","6","","","","","4","10",""
"France","82","","6","","","","3","","3","3","7","1","8","","","3","8","6","6","3","","","2","","","1","4","","7","","","4","","3","2","","","","","2"
"Serbia","72","3","","","","","12","","8","1","","","","10","","5","","","","","","","","","1","7","","","","","","","","8","","7","10","","",""
"Israel","71","4","","5","8","","1","","","2","","","10","1","4","","","","","","","","","1","10","","5","","","","","","8","6","","","","","3","3"
"Spain","68","7","7","","","1","","2","","","","","4","","2","","","","","1","5","8","","4","","","","","12","2","4","","","5","","","","","4",""
"Albania","62","","","","","3","5","","5","","","","","","","1","10","7","","","","","","","","12","","2","","1","","","","","","","8","7","","1"
"Bosnia Herzegovina","51","6","","","","","","","10","","","","","5","","","","","","","","","","","","6","","","","","","12","","4","","","","8","",""
"Portugal","43","","4","","","","","","","","4","","","8","","6","","1","","","6","","1","","","","","","","","","2","","","6","","5","","",""
"Iceland","41","","","","2","8","","","","","3","4","5","","","4","3","","","","","","6","","","","6","","","","","","","","","","","","",""
"Norway","35","","2","","","","","","","","5","7","","","6","","","","2","","","","3","","","","","","3","","","","3","","","4","","","",""
"Cyprus","27","","","","","","","4","4","","1","","","","","","12","","","","","1","","","","","","","","","","","2","","","3","","","",""
"Moldova","27","","","6","4","","","","","","","","","","1","","","","","","","","","","","","","","6","10","","","","","","","","","",""
"Ireland","25","","","","","","","","1","","","2","1","","","2","","","","6","","","","","","","","","","","","","","","","","6","","","7"
"Belarus","18","","","","","","","1","","","","","","","12","","","","","","","","","3","","","","","","","2","","","","","","","","",""
"United Kingdom","10","1","","2","","","","","","","","","","","3","","","","4","","","","","","","","","","","","","","","","","","","","",""
