"country","total_points","ALB","ARM","AUT","AZE","BLR","BEL","BIH","BUL","CRO","CYP","DEN","EST","FIN","FRA","GEO","GER","GRE","HUN","ISL","IRL","ISR","ITA","LVA","LTU","MLT","MDA","NED","MKD","NOR","POL","POR","ROU","RUS","SMR","SRB","SVK","SLO","ESP","SWE","SWI","TUR","UKR","GBR"
"Azerbaijan","221","8","","8","","6","3","8","","10","8","","8","5","6","8","","5","7","8","","4","","2","8","12","10","6","","","8","8","10","12","10","","7","","","3","1","12","10",""
"Italy","189","12","6","6","1","3","6","6","","","1","","6","3","8","7","3","10","4","3","5","","","12","10","10","","","1","","10","10","6","","12","2","","3","12","","4","","","7"
"Sweden","185","","4","","3","4","4","5","","4","10","10","12","6","10","1","","6","10","7","4","12","","","","6","3","10","6","10","","","3","1","6","1","10","4","5","","","4","1","3"
"Ukraine","159","3","12","","12","10","","","8","5","5","","","","","10","","7","","","","7","7","","","4","8","","7","","2","7","2","10","","6","12","6","","2","","7","",""
"Denmark","134","","","","","1","","","7","","3","","10","","7","","6","","","12","12","10","","6","","5","","12","","7","3","","","","4","","6","8","","10","","","","5"
"Bosnia Herzegovina","125","7","","12","","","","","2","7","","","","","5","","7","3","","","","","4","","","","","8","12","4","","","","","","12","","12","","8","12","10","",""
"Greece","120","10","7","","8","","8","","10","","12","","","","","6","10","","8","","","","2","","","","1","","3","","","","8","8","8","3","","","","","2","","6",""
"Ireland","119","","","4","","","7","2","3","","","12","","10","","","8","","","4","","","","10","","8","","5","","","1","6","","","","","8","","7","12","","","","12"
"Georgia","110","","10","","10","12","","","1","","","","3","","","","","8","5","","","2","","","12","","7","","","","7","","","6","7","","","","","","","8","12",""
"Germany","107","","","10","","8","5","3","","1","","8","","","3","","","4","","6","","","6","8","2","","","7","","5","4","","","","","","","7","3","6","8","3","",""
"United Kingdom","100","6","2","","5","2","","","12","","4","3","","","1","","","2","","2","6","1","10","5","3","7","4","","5","1","","3","","4","2","","","1","","","","6","3",""
"Moldova","97","","","5","7","7","1","","","","","","","","4","5","4","","","","8","","8","","4","","","","","","","5","12","7","","","5","","","","","","7","8"
"Slovenia","96","","","3","","","","12","","12","6","7","2","","","","1","","6","","2","3","","3","","3","","2","10","","","1","4","5","1","10","1","","","","","2","",""
"Serbia","85","1","1","7","","","","10","","8","","","","2","","","","","","","","","3","","5","","","3","8","6","6","","","","5","","","10","4","","6","","",""
"France","82","2","5","","","","12","4","","6","7","","","4","","2","","12","","","","","1","1","","1","2","","","","","2","","3","3","","","","10","","","","5",""
"Russia","77","4","8","","4","5","","","4","","2","","5","","","4","5","1","3","1","","8","","","6","","5","","","","","","","","","4","","","","","","","8",""
"Romania","77","","","1","6","","10","","6","","","4","1","","","","","","1","","1","6","12","","","","12","4","","","","","","","","","","","8","","","5","",""
"Austria","64","","3","","","","","7","5","3","","1","","1","","3","12","","2","","","","","","","2","","1","2","","","","","","","","3","5","","4","7","1","","2"
"Lithuania","63","","","","","","","","","2","","","","","","12","","","","","10","","","7","","","","","","3","12","","1","2","","7","","","1","","","","","6"
"Iceland","61","","","","","","","1","","","","6","","8","","","","","12","","","","5","","","","","","","8","","4","","","","","","","2","1","10","","","4"
"Finland","57","","","","","","","","","","","5","7","","","","2","","","10","3","","","","1","","","","","12","5","","","","","","","","","7","5","","",""
"Hungary","53","","","2","2","","","","","","","","","12","2","","","","","5","","","","","","","","","","","","","7","","","8","","","6","5","","","4",""
"Spain","50","5","","","","","","","","","","","4","","12","","","","","","","","","","","","","","4","","","12","5","","","","2","2","","","3","","","1"
"Estonia","44","","","","","","2","","","","","2","","7","","","","","","","7","5","","4","7","","6","","","2","","","","","","","","","","","","","2",""
"Switzerland","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","4","","","","","","","10"
