"country","total_points","ALB","ARM","AUS","AUT","AZE","BLR","BEL","BIH","BUL","CRO","CYP","CZE","DEN","EST","FIN","FRA","GEO","GER","GRE","HUN","ISL","IRL","ISR","ITA","LVA","LTU","MLT","MDA","MNE","NED","MKD","NOR","POL","RUS","SMR","SRB","SLO","ESP","SWE","SWI","UKR","GBR"
"Ukraine","534","6","10","10","10","20","17","5","19","10","10","7","12","15","15","12","10","22","13","8","12","","4","20","22","22","18","4","22","8","10","18","8","24","10","24","19","19","7","7","10","","15"
"Australia","511","24","5","","15","9","7","16","13","13","17","15","1","20","14","15","6","9","11","12","15","18","6","15","6","11","17","15","15","4","17","11","18","17","6","5","12","9","12","24","13","9","14"
"Russia","491","14","14","5","11","24","24","6","11","18","14","22","10","4","12","8","7","8","12","22","10","15","8","10","8","19","8","14","19","18","3","8","6","8","","17","13","10","12","14","6","12","7"
"Bulgaria","307","12","7","18","5","16","5","11","5","","1","12","5","6","","4","15","3","4","7","4","","15","14","7","2","2","18","2","7","1","20","13","6","","3","12","12","12","4","1","3","13"
"Sweden","261","3","2","","15","","10","1","","3","7","1","14","16","22","22","7","6","18","","11","18","7","","2","15","7","","6","","12","","7","10","2","4","1","5","1","","","5","1"
"France","257","10","19","13","8","4","","16","11","","10","13","5","2","3","4","","4","","10","1","7","3","20","12","","4","8","6","6","9","","1","1","10","","","","17","11","3","","6"
"Armenia","249","2","","","2","","10","7","2","20","4","16","8","","","","14","12","2","18","1","","","8","1","6","4","7","12","10","10","7","","2","24","2","5","4","18","4","","7",""
"Poland","229","5","1","","12","5","6","12","","6","4","2","7","5","1","5","7","4","10","3","8","10","10","4","10","5","9","","","1","10","2","11","","5","7","","4","5","10","5","8","10"
"Lithuania","200","4","","8","1","5","10","","","1","","3","3","11","10","6","","10","1","","3","4","12","1","2","18","","","7","2","","","14","2","","8","8","","","8","7","15","16"
"Belgium","181","","4","24","5","","4","","","10","","","2","16","","","4","10","5","","","6","12","7","","","5","","","3","16","8","7","","","","5","8","","","10","10",""
"Netherlands","153","","","3","6","","","14","","2","","","7","14","6","10","7","","7","","8","18","8","","4","3","","3","","","","2","6","","","4","5","1","3","7","5","",""
"Malta","153","2","13","6","10","11","5","","","7","","6","6","","2","5","4","","","4","10","4","","","5","4","","","3","12","","","","","8","3","10","","6","7","","",""
"Austria","151","","4","3","","","","8","5","4","6","","4","1","6","10","16","","7","1","6","3","1","3","","4","1","","4","","14","","","4","8","1","","6","2","5","14","",""
"Israel","135","3","","10","","9","","2","","2","7","5","","2","","7","3","3","12","","","","4","","8","2","6","1","","","7","5","3","7","","","7","2","1","","8","6","3"
"Latvia","132","","","","","","5","","","","","","1","","15","2","","13","2","","8","","8","5","","","19","","1","","","3","3","11","4","6","","7","","","3","13","3"
"Italy","124","18","","","","","","10","","","3","3","","","","2","12","","4","","","","6","","","","","15","","4","6","1","12","","","10","","1","8","","9","",""
"Azerbaijan","117","","","","","","10","","9","1","","2","6","","","","","7","","1","7","1","","2","","3","","6","8","7","1","1","","","16","","","","2","10","","17",""
"Serbia","115","","","","4","","","","20","5","14","","","","","","","","","","","","","","4","","","","","18","","19","","","","","","17","","","12","","2"
"Hungary","108","2","3","","","11","3","","1","","8","8","13","","","","","2","","5","","","","","","","2","5","","10","","","","6","1","3","10","3","10","","","2",""
"Georgia","104","","18","","","1","","7","","3","","","","","","","","","8","5","","","","","6","2","14","","","","","","","8","5","6","","","","","","9","12"
"Cyprus","96","","12","","","","","","","7","1","","","","7","1","","","","20","5","","","","7","","","5","2","","","","","1","11","5","3","","","","","","9"
"Spain","77","6","3","7","","1","","","","4","","","","1","","","4","","","","5","","","4","12","","","2","8","","","","7","5","","","","","","2","2","","4"
"Croatia","73","","","1","6","","","","14","","","1","8","","","","","2","","","","7","","3","","","","","1","6","","11","","","","","4","8","","","","","1"
"United Kingdom","62","5","","8","","","","","","","","","4","3","3","","","","","","","","10","","","","","13","","","","","","","6","8","2","","","","","",""
"Czech Republic","41","","1","","4","","","1","6","","10","","","","","3","","","","","2","5","2","","","","","","","","","","","4","","","","","","3","","",""
"Germany","11","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","8","",""
