"country","total_points","ALB","ARM","AUS","AUT","AZE","BLR","BEL","BUL","CRO","CYP","CZE","DEN","EST","FIN","FRA","GEO","GER","GRE","HUN","ISL","IRL","ISR","ITA","LVA","LTU","MLT","MDA","MNE","NED","MKD","NOR","POL","POR","ROU","SMR","SRB","SLO","ESP","SWE","SWI","UKR","GBR"
"Portugal","758","14","22","14","20","16","17","20","7","17","15","20","15","18","20","24","20","22","13","19","24","15","24","10","22","24","18","13","8","24","17","22","22","","13","19","20","20","24","22","24","20","20"
"Bulgaria","615","20","7","13","17","14","24","18","","18","17","14","14","19","13","9","13","13","12","22","10","16","17","10","15","14","18","18","8","18","24","20","14","8","18","14","16","15","16","14","14","2","19"
"Moldova","374","","14","22","3","20","10","7","10","4","6","8","11","4","8","7","","7","13","10","6","8","8","20","9","8","1","","3","5","8","8","6","18","20","8","14","3","13","16","","16","12"
"Belgium","363","5","5","4","10","4","6","","4","5","5","4","8","14","10","8","","10","5","8","12","17","14","9","22","14","5","2","10","12","4","7","22","18","5","13","3","11","8","13","13","6","8"
"Sweden","344","2","9","12","5","3","11","14","2","6","11","7","24","6","18","8","9","4","3","4","16","6","13","10","4","9","7","11","7","10","6","11","7","8","9","2","3","7","10","","11","7","12"
"Italy","334","24","6","2","12","6","","5","","7","18","1","","5","15","15","7","4","11","4","12","1","10","","3","13","24","4","18","2","8","9","","4","6","13","14","12","18","7","12","","2"
"Romania","282","7","2","10","10","5","2","6","11","6","4","6","4","6","3","10","","6","7","6","5","20","7","10","8","4","11","24","10","8","4","10","7","7","","6","4","2","7","3","4","3","7"
"Hungary","200","6","","","10","7","8","1","6","24","","","3","9","4","2","","4","","","6","2","1","4","2","2","5","1","7","6","3","4","5","2","10","4","22","5","","4","8","12","1"
"Australia","173","4","","","","","7","6","","6","4","10","10","7","10","2","","5","","7","10","","","","5","1","","4","","4","8","3","7","5","4","","3","7","8","10","4","2","10"
"Norway","158","","5","","3","","11","7","","2","","","13","10","3","7","7","12","","6","2","2","5","3","8","16","","","","7","2","","3","2","","10","","","","6","5","1",""
"Netherlands","150","","","4","12","","5","10","10","9","","8","6","4","","4","1","8","","8","","4","","","","2","","","","","","4","8","3","12","7","","1","3","3","7","3","4"
"France","135","6","11","","","5","4","4","12","3","5","","","1","1","","3","","4","1","","","10","7","","","4","5","5","","11","","","10","4","","2","","3","","3","11",""
"Croatia","128","7","","1","4","1","","","1","","","","","","","","","11","","5","","3","","6","","","9","","17","3","10","1","1","","6","3","5","12","","2","8","7","5"
"Azerbaijan","120","2","","","","","","4","5","","1","10","","","","","22","","10","4","","1","","12","","","","15","5","","","","1","12","","6","","4","","","","6",""
"United Kingdom","111","8","4","15","1","","","2","","","5","5","","6","2","3","","6","1","3","7","4","","","4","","4","","","5","3","1","5","","","6","","10","1","","","",""
"Austria","93","","1","3","","","4","3","12","1","","4","7","","","1","5","2","","","","7","","1","6","5","","2","1","3","","","","10","1","","4","","3","4","","","3"
"Belarus","83","","","","7","12","","","2","5","","3","","2","","","6","","3","","","","3","","8","1","2","4","","","","","4","","","","","","","","","20","1"
"Armenia","79","7","","1","","","","","4","","1","2","1","","","6","13","","10","2","","","","4","","3","1","6","4","","","","2","","","4","5","3","","","","",""
"Greece","77","4","11","","","5","","","11","","24","","","","","","","","","","","","","","","","","7","12","","","","","","1","","","","2","","","",""
"Denmark","77","","","13","","","3","","","3","","6","","5","4","","","","","5","3","","","","","","","","","8","7","8","","","5","","","","","5","","","2"
"Cyprus","68","","19","","","","","5","3","","","","","","5","","6","","24","2","","","","","","","","","1","","","","","1","","","","","","2","","",""
"Poland","64","","","2","2","6","2","4","7","","","1","","","","1","","2","","","3","7","","3","","","","","","1","","3","","","","1","","4","","5","","","10"
"Israel","39","","","","","5","1","","8","","","","","","","9","","","","","","","","","","","7","","","","1","5","","","2","","1","","","","","",""
"Ukraine","36","","","","","7","1","","1","","","7","","","","","4","","","","","","4","7","","","","","","","","","2","3","","","","","","","","",""
"Germany","6","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","3","",""
"Spain","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","",""
