"country","total_points","ALB","AND","ARM","BLR","BEL","BIH","BUL","CRO","CYP","DEN","EST","FIN","FRA","GER","GRE","ISL","IRL","ISR","LVA","LTU","MLT","MDA","MON","NED","MKD","NOR","POL","POR","ROU","RUS","SRB","SLO","ESP","SWE","SWI","TUR","UKR","GBR"
"Finland","292","","10","","7","8","7","5","10","5","12","12","","8","10","12","12","10","7","8","10","7","6","","7","6","12","12","6","4","8","7","8","10","12","8","7","7","12"
"Russia","248","4","6","12","12","3","6","10","7","8","2","10","12","2","6","8","5","5","12","12","12","5","10","","2","8","3","10","7","8","","5","4","7","7","","5","12","1"
"Bosnia Herzegovina","229","12","","5","4","6","","7","12","2","8","","10","6","7","6","3","2","2","","4","","5","12","8","12","8","4","2","7","6","12","12","1","10","12","12","10",""
"Romania","172","2","3","4","3","2","2","2","5","10","6","4","6","7","5","7","2","6","10","2","1","10","12","","","2","4","3","10","","4","4","5","12","6","1","3","1","6"
"Sweden","170","10","8","6","5","5","3","","3","","10","7","7","3","","","7","7","5","7","5","6","2","5","","1","10","7","8","5","2","1","7","6","","2","","6","4"
"Lithuania","162","","7","","6","4","","1","6","4","7","8","8","","1","4","10","12","3","10","","1","4","7","6","3","5","8","4","","5","3","3","4","3","","","5","10"
"Ukraine","145","","5","10","10","","5","3","4","6","","5","2","","","5","6","1","6","5","7","2","8","2","1","5","","6","12","3","10","2","2","3","1","","8","",""
"Armenia","129","","","","8","12","","8","","7","","","","10","3","10","","","8","","2","","7","","10","","","5","","1","12","","","8","","","10","8",""
"Greece","128","8","1","8","2","10","1","12","","12","","","1","5","8","","","","","","3","8","1","","5","7","","","","10","","6","","","4","5","4","","7"
"Ireland","93","","4","3","","","","","2","","5","6","4","1","4","","1","","","4","6","4","","10","4","","7","2","5","2","","","1","","5","3","","2","8"
"Turkey","91","7","","","","7","10","4","","","","","","12","12","3","","","1","","","","","","12","4","","","","6","","","","","","10","","","3"
"North Macedonia","56","3","","7","","","8","6","8","","","","","","","","","","","","","","","","","","","","","","","8","6","","","4","6","",""
"Croatia","56","","","","","","12","","","","","","","","2","","","","","","","","","4","","10","","","","","","10","10","","","6","2","",""
"Norway","36","","","1","1","","","","","","1","","5","","","2","4","","","6","","","3","1","","","","","","","7","","","","2","","","3",""
"Germany","36","5","","","","1","","","","","3","","","","","","","3","","3","","","","","3","","1","","","","","","","5","","7","","","5"
"Switzerland","30","","","","","","4","","","3","","","","","","","","","4","","","12","","6","","","","","1","","","","","","","","","",""
"Latvia","30","","","","","","","","","","","3","","","","","","4","","","8","","","8","","","","","","","1","","","","","","","4","2"
"Denmark","26","","","","","","","","","","","1","3","","","","8","","","","","","","","","","6","","","","","","","","8","","","",""
"United Kingdom","25","","2","","","","","","1","1","4","2","","","","","","8","","1","","3","","","","","2","1","","","","","","","","","","",""
"Moldova","22","","","","","","","","","","","","","","","1","","","","","","","","","","","","","3","12","3","","","2","","","1","",""
"Spain","18","6","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"France","5","","","2","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","",""
"Israel","4","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
