"country","total_points","ALB","AND","ARM","AUT","BLR","BEL","BIH","BUL","CRO","CYP","CZE","DEN","EST","FIN","FRA","GEO","GER","GRE","HUN","ISL","IRL","ISR","LVA","LTU","MLT","MDA","MNE","NED","MKD","NOR","POL","POR","ROU","RUS","SRB","SLO","ESP","SWE","SWI","TUR","UKR","GBR",""
"Serbia","268","1","","7","12","7","7","12","6","12","3","8","6","","12","8","6","8","4","12","7","4","3","3","","8","5","12","8","12","10","8","5","6","5","","12","1","10","12","","6","",""
"Ukraine","235","","12","6","4","10","1","5","3","5","4","12","3","8","6","4","10","5","7","3","6","8","10","12","8","3","7","2","1","2","2","12","12","4","8","3","4","7","3","2","3","","8",""
"Russia","207","","3","12","","12","","2","5","3","7","6","2","12","3","2","7","6","8","6","1","6","8","7","6","6","8","6","","5","5","3","4","3","","7","3","4","5","","8","10","6",""
"Turkey","163","10","","","10","","12","10","7","","","","10","","4","12","2","12","","1","3","","","","","","1","1","12","10","7","","","7","2","","","","7","10","","1","12",""
"Bulgaria","157","","","4","6","","4","6","","6","10","7","","1","5","5","","4","12","10","","","","2","","7","3","5","","8","","","6","5","4","6","7","10","","","6","3","5",""
"Belarus","145","2","","10","","","","4","1","","6","2","","7","","","8","","5","4","4","","12","8","7","10","10","3","","7","","7","1","1","12","2","","","","","","12","",""
"Greece","139","7","","8","","3","8","3","12","","12","3","1","","","3","4","10","","7","5","","1","","","","6","","5","3","","","","10","","4","","2","4","4","4","","10",""
"Armenia","138","","","","5","5","10","","8","","8","10","","","","10","12","2","6","","","","5","","","","2","","10","","","10","","","10","","","8","","","12","5","",""
"Hungary","128","","6","","2","","5","","","4","","","8","4","10","","5","7","","","8","5","","5","4","1","","","4","","8","2","2","8","","12","5","","8","3","","","2",""
"Moldova","109","","4","3","","8","","","4","","2","","","","2","","3","","10","5","","2","4","","2","","","","","1","1","6","10","12","6","1","1","6","2","","7","7","",""
"Bosnia  Herzegovina","106","8","","1","8","","","","","10","","4","7","","","1","","3","","","","","","","","","","7","7","4","6","","","","","8","8","","6","8","10","","",""
"Georgia","97","","","5","","6","6","1","","2","1","1","","5","7","","","","3","2","","1","6","6","12","","4","","2","","","5","","","7","","2","","","","5","8","",""
"Romania","84","","10","","3","","","","2","","5","","","","","7","","","2","8","","3","7","1","","","12","","","","","","7","","1","","","12","","","2","2","",""
"North Macedonia","73","3","","","1","","","8","10","8","","5","","","","","1","","","","","","","","","","","10","","","","","","","","10","10","","","6","1","","",""
"Slovenia","66","","","","","4","2","7","","7","","","","","","","","","","","","","","4","1","5","","8","","6","","4","3","","3","5","","3","","","","4","",""
"Latvia","54","","","","","","","","","1","","","","10","","","","","","","","10","","","10","4","","","3","","3","1","","2","","","6","","","","","","4",""
"Finland","53","","7","","","1","","","","","","","4","6","","","","1","","","12","","","","5","","","","","","4","","","","","","","","12","1","","","",""
"Sweden","51","","2","","","","","","","","","","12","","8","","","","","","10","","","","","","","","","","12","","","","","","","","","","","","7",""
"Germany","49","6","5","","7","","","","","","","","5","3","1","","","","","","2","","","","","","","","6","","","","","","","","","5","1","7","","","1",""
"Spain","43","12","","","","","3","","","","","","","","","6","","","1","","","","2","","","2","","4","","","","","8","","","","","","","5","","","",""
"Lithuania","28","","1","","","2","","","","","","","","","","","","","","","","12","","10","","","","","","","","","","","","","","","","","","","3",""
"France","19","4","8","2","","","","","","","","","","2","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","",""
"United Kingdom","19","","","","","","","","","","","","","","","","","","","","","7","","","","12","","","","","","","","","","","","","","","","","",""
"Ireland","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
