"country","total_points","ALB","AND","ARM","AZE","BLR","BEL","BIH","BUL","CRO","CYP","CZE","DEN","EST","FIN","FRA","GEO","GER","GRE","HUN","ISL","IRL","ISR","LVA","LTU","MLT","MDA","MNE","NED","MKD","NOR","POL","POR","ROU","RUS","SMR","SRB","SLO","ESP","SWE","SWI","TUR","UKR","GBR"
"Russia","272","6","5","12","8","12","3","4","6","6","8","7","","12","10","1","8","7","7","10","","5","12","12","12","8","10","8","1","6","5","6","6","10","","","10","7","5","","","5","12",""
"Ukraine","230","8","6","5","10","10","1","3","7","7","6","8","7","4","3","","10","","6","6","5","6","10","10","6","10","7","4","","4","","10","12","3","8","","6","2","7","","","8","","5"
"Greece","218","12","8","8","6","2","8","7","10","5","12","5","3","1","","3","4","12","","8","","4","5","","","2","4","6","6","3","","3","","12","3","12","8","6","3","1","5","7","2","12"
"Armenia","199","2","","","","7","12","6","8","","10","12","","","","12","12","6","12","","1","","8","","","","2","1","12","1","","12","","4","12","8","5","5","10","2","","10","7",""
"Norway","182","7","1","7","5","5","2","2","1","1","","","10","8","12","","5","","2","4","10","7","7","6","4","3","5","","4","","","8","2","5","5","7","4","","6","12","","2","6","7"
"Serbia","160","5","","3","2","1","","12","4","10","5","6","","","","7","","8","5","7","2","","","","","1","1","12","8","10","6","4","","7","4","","","12","","6","12","","",""
"Turkey","138","10","","","12","3","10","8","5","","","","4","","4","10","6","10","","5","","","","","","","","","10","7","2","","","8","2","4","","","","","6","","4","8"
"Azerbaijan","132","","7","","","8","7","","3","","","10","","","","","7","1","3","12","","","3","4","7","","8","","2","8","","7","","2","10","","","1","","","","12","10",""
"Israel","124","4","","6","7","4","5","5","2","2","2","","","","8","6","3","3","1","3","","","","","3","","6","5","3","","3","5","","6","6","10","7","3","","","1","","5",""
"Bosnia Herzegovina","110","","","","3","","","","","12","","1","2","","6","2","","5","","","","2","","","","","","10","7","5","10","","","","","","12","10","","10","7","6","",""
"Georgia","83","","","10","4","6","","","","","7","4","","5","","","","","4","","","","2","8","5","5","3","","","","","","1","","7","","","","","","","4","8",""
"Latvia","83","","2","","","","","","","4","","3","6","7","","","2","","","","4","12","","","10","7","","3","","","","","8","","","","","","2","3","","","","10"
"Portugal","69","","10","","","","6","","","3","","","","","","8","","4","","","6","","","","","","","","5","","","","","","","5","1","","8","","10","","3",""
"Iceland","64","","","","","","","","","","","","12","","7","","","","","","","","4","2","","6","","","","","8","","7","","","","","","4","8","","","","6"
"Denmark","60","","","","","","","","","","","2","","3","","","","","","2","12","1","","7","2","4","","","","","12","","5","","","2","","","","5","","","","3"
"Spain","55","1","12","1","","","4","","","","4","","1","","1","5","","","8","","","","","","","","","","","","","","10","","","","","","","","4","3","","1"
"Albania","55","","","","1","","","1","","8","","","","","","","","","10","","","","","","","","","7","","12","","","","","","3","","4","","","8","1","",""
"Sweden","47","3","","","","","","","","","1","","8","2","5","","","","","1","3","","1","","1","12","","","","","7","","","","","","2","","1","","","","",""
"France","47","","3","4","","","","","","","","","5","6","2","","","","","","8","","","3","8","","","","","","1","1","","","","","","","","4","","","","2"
"Romania","45","","","","","","","","","","3","","","","","4","","","","","","3","6","","","","12","","","","","","4","","","1","","","12","","","","",""
"Croatia","44","","","2","","","","10","","","","","","","","","1","2","","","","","","5","","","","2","","2","","","3","1","1","","3","8","","","3","","1",""
"Finland","35","","4","","","","","","","","","","","10","","","","","","","7","","","1","","","","","","","4","2","","","","","","","","7","","","",""
"Germany","14","","","","","","","","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","",""
"Poland","14","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","4"
"United Kingdom","14","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","6","","","","","","","",""
