"country","total_points","ALB","ARM","AUS","AUT","AZE","BLR","BEL","CRO","CYP","CZE","DEN","EST","FIN","FRA","GEO","GER","GRE","HUN","ISL","IRL","ISR","ITA","LVA","LTU","MLT","MDA","MNE","NED","MKD","NOR","POL","POR","ROU","RUS","SMR","SRB","SLO","ESP","SWE","SWI","GBR"
"Netherlands","498","7","16","12","15","7","16","18","10","11","10","14","15","13","17","13","15","6","9","12","16","14","5","17","19","17","9","1","","14","15","10","20","17","5","9","3","11","16","18","16","10"
"Italy","472","13","15","5","17","11","10","20","24","16","10","4","","8","18","1","18","17","11","9","5","18","","5","13","24","5","7","16","15","10","7","13","8","1","20","17","16","16","12","17",""
"Russia","370","13","17","4","5","24","13","1","2","20","12","3","18","4","3","8","8","18","7","","8","12","8","16","13","14","17","20","5","6","1","3","10","13","","22","8","","4","3","3","4"
"Switzerland","364","14","15","7","22","8","8","12","14","8","5","12","14","5","4","3","16","7","8","12","17","10","3","1","2","8","4","","16","7","12","5","6","14","2","7","11","9","13","11","","12"
"Sweden","334","6","14","20","6","","2","2","5","7","12","22","15","19","10","8","3","","4","20","14","6","2","10","11","11","2","","20","","20","","2","1","","","8","7","18","","12","15"
"Norway","331","5","5","12","9","1","8","7","5","1","10","17","10","10","8","","17","","10","12","18","10","10","8","8","7","10","","12","5","","9","10","4","10","3","4","6","7","16","15","12"
"North Macedonia","305","18","10","7","12","11","10","","17","","7","10","","7","7","2","7","1","10","8","5","","10","8","","8","12","13","4","","10","8","5","7","4","1","24","14","","2","14","12"
"Azerbaijan","302","11","","3","5","","11","","","6","12","9","6","2","6","17","","8","7","4","7","10","8","10","15","10","16","3","4","5","8","4","8","16","24","8","3","10","8","8","","10"
"Australia","284","3","1","","3","2","2","8","","2","8","2","2","16","10","","15","5","","20","14","11","12","6","3","3","10","4","4","10","4","18","11","14","4","","7","2","15","11","4","18"
"Iceland","232","","3","18","6","","7","13","3","","10","4","5","12","6","3","2","2","12","","6","","7","7","12","1","1","2","7","2","10","15","3","5","9","8","5","7","3","8","","8"
"Czech Republic","157","","3","7","3","","","5","7","","","","8","4","3","12","","","12","8","","1","4","3","7","","10","1","4","","12","1","10","8","","","4","12","6","1","","1"
"Denmark","120","","","","","","","1","","","","","8","","5","7","5","","6","4","","1","16","7","","","4","3","12","","9","5","1","","","","2","7","","7","1","9"
"Cyprus","109","7","","","","3","8","2","","","","","","","","18","","24","","","","","","","","6","","5","1","1","1","","","","8","12","","","5","7","","1"
"Malta","107","","10","4","","14","12","","","3","3","","","1","","","3","5","","","","4","8","1","","","1","6","8","11","","4","","","6","","","1","","2","",""
"Slovenia","105","","","","2","4","5","","10","","10","","7","7","","4","3","4","3","","","","","2","4","","","4","","2","","14","3","","6","","10","","1","","",""
"France","105","3","4","13","5","","","18","3","7","2","","3","","","5","4","1","1","1","","6","5","","","","","","","","","6","2","1","","","1","3","4","","5","2"
"Albania","90","","","","","7","","","1","2","","","","","","","","8","","","","","13","","","2","","15","","20","","","","2","3","7","","","","","10",""
"Serbia","89","","","1","6","","","","12","","","","4","","","","","","","2","","","","","","","","24","","10","","7","","3","3","","","10","","","7",""
"San Marino","77","10","","","","10","1","","2","","","","","","","10","","6","6","1","","","","","","1","8","8","","8","","","","","5","","1","","","","",""
"Estonia","76","","","","","","","","1","","2","10","","8","","","","","","3","1","8","5","15","4","","","","","","2","","","","","","6","1","","10","",""
"Greece","74","6","","","","6","3","3","","24","","","","","","","","","","","","","","","","4","","","","","","","","","10","18","","","","","",""
"Spain","54","","","","","2","","6","","4","","1","","","7","","","4","","","","5","","","","","","","3","","","","12","","1","","2","","","","5","2"
"Israel","35","","","","","","","","","5","3","","","","12","4","","","","","","","","","","","7","","","","","","","3","","1","","","","","",""
"Belarus","31","","1","","","6","","","","","","","1","","","","","","8","","","","","","","","","","","","","","","","15","","","","","","",""
"Germany","24","","","3","","","","","","","","8","","","","","","","","","2","","","","5","","","","","","","","","","","","","","","","6",""
"United Kingdom","11","","2","","","","","","","","","","","","","1","","","2","","3","","","","","","","","","","2","","","","","","","","","","1",""
