,RunId,iteration,Step,jury_or_televoting,year,mu,sigma,alpha,ks_statistic,ks_pval
0,0,0,1,T,2016,-0.1,0.0,0.0,0.6941838649155723,4.796560378516539e-246
1,1,0,1,T,2016,-0.1,0.04,0.5,0.48686679174484054,6.496257277620579e-115
2,2,0,1,T,2016,-0.1,0.02,0.75,0.4709193245778612,3.234309180870118e-107
3,3,0,1,T,2016,-0.1,0.02,1.0,0.3827392120075047,5.699615346716045e-70
4,4,0,1,T,2016,-0.1,0.02,0.25,0.49530956848030017,4.1043891261546564e-119
5,5,0,1,T,2016,-0.1,0.02,0.5,0.5028142589118199,6.413583086128039e-123
6,6,0,1,T,2016,-0.1,0.0,0.5,0.36679174484052535,3.716565518693425e-64
7,7,0,1,T,2016,-0.1,0.02,0.0,0.49437148217636023,1.21380264695557e-118
8,8,0,1,T,2016,-0.1,0.04,0.0,0.49437148217636023,1.21380264695557e-118
9,9,0,1,T,2016,-0.1,0.0,0.75,0.3705440900562852,1.6852871615494882e-65
10,10,0,1,T,2016,-0.1,0.04,0.75,0.49343339587242024,3.5807178085189316e-118
11,11,0,1,T,2016,-0.1,0.04,0.25,0.49437148217636023,1.21380264695557e-118
12,12,0,1,T,2016,-0.1,0.04,1.0,0.4052532833020638,1.194119545193361e-78
13,13,0,1,T,2016,-0.1,0.0,1.0,0.3921200750469043,1.611083338764136e-73
14,14,0,1,T,2016,-0.1,0.06,0.0,0.49437148217636023,1.21380264695557e-118
15,15,0,1,T,2016,-0.1,0.0,0.25,0.35834896810506567,3.451231671621666e-61
16,16,0,1,T,2016,-0.1,0.06,0.25,0.5469043151969981,1.0308831004726267e-146
17,17,0,1,T,2016,-0.1,0.08,0.5,0.5431519699812383,1.3669681083689725e-144
18,18,0,1,T,2016,-0.1,0.08,0.0,0.5459662288930581,3.5122442823953745e-146
19,19,0,1,T,2016,-0.1,0.08,0.75,0.5478424015009381,3.017675985019871e-147
20,20,0,1,T,2016,-0.1,0.08,0.25,0.5450281425891182,1.193438881935583e-145
21,21,0,1,T,2016,-0.1,0.1,0.75,0.551594746716698,2.1571284022626235e-149
22,22,0,1,T,2016,-0.1,0.1,0.5,0.5431519699812383,1.3669681083689725e-144
23,23,0,1,T,2016,-0.060000000000000005,0.0,0.25,0.35647279549718575,1.5388508155509194e-60
24,24,0,1,T,2016,-0.1,0.08,1.0,0.36679174484052535,3.716565518693425e-64
25,25,0,1,T,2016,-0.060000000000000005,0.0,0.0,0.6941838649155723,4.796560378516539e-246
26,26,0,1,T,2016,-0.1,0.06,0.75,0.5215759849906192,9.661474352114406e-133
27,27,0,1,T,2016,-0.1,0.1,0.0,0.5459662288930581,3.5122442823953745e-146
28,28,0,1,T,2016,-0.1,0.06,1.0,0.3818011257035647,1.2748456784612217e-69
29,29,0,1,T,2016,-0.1,0.1,1.0,0.3714821763602251,7.734799489738076e-66
30,30,0,1,T,2016,-0.1,0.06,0.5,0.5431519699812383,1.3669681083689725e-144
31,31,0,1,T,2016,-0.1,0.1,0.25,0.5572232645403377,1.2023820335661321e-152
32,32,0,1,T,2016,-0.060000000000000005,0.0,0.5,0.3780487804878049,3.121628862552437e-68
33,33,0,1,T,2016,-0.060000000000000005,0.0,0.75,0.3696060037523452,3.663994855690182e-65
34,34,0,1,T,2016,-0.060000000000000005,0.0,1.0,0.3574108818011257,7.295450307311201e-61
35,35,0,1,T,2016,-0.060000000000000005,0.02,0.0,0.5562851782363978,4.219776270020675e-152
36,36,0,1,T,2016,-0.060000000000000005,0.02,0.25,0.5534709193245778,1.7945846231091983e-150
37,37,0,1,T,2016,-0.060000000000000005,0.02,1.0,0.3630393996247655,7.916902329995294e-63
38,38,0,1,T,2016,-0.060000000000000005,0.02,0.5,0.550656660412758,7.448622917207473e-149
39,39,0,1,T,2016,-0.060000000000000005,0.04,0.5,0.550656660412758,7.448622917207473e-149
40,40,0,1,T,2016,-0.060000000000000005,0.02,0.75,0.5056285178236398,2.300664368420534e-124
41,41,0,1,T,2016,-0.060000000000000005,0.04,0.0,0.5562851782363978,4.219776270020675e-152
42,42,0,1,T,2016,-0.060000000000000005,0.04,0.75,0.5412757973733584,1.549164073934293e-143
43,43,0,1,T,2016,-0.060000000000000005,0.04,0.25,0.5562851782363978,4.219776270020675e-152
44,44,0,1,T,2016,-0.060000000000000005,0.06,0.5,0.550656660412758,7.448622917207473e-149
45,45,0,1,T,2016,-0.060000000000000005,0.06,0.25,0.5544090056285178,5.15523404103789e-151
46,46,0,1,T,2016,-0.060000000000000005,0.06,0.0,0.5562851782363978,4.219776270020675e-152
47,47,0,1,T,2016,-0.060000000000000005,0.04,1.0,0.37617260787992496,1.5245420031396484e-67
48,48,0,1,T,2016,-0.060000000000000005,0.06,0.75,0.5534709193245778,1.7945846231091983e-150
49,49,0,1,T,2016,-0.060000000000000005,0.08,0.0,0.5581613508442776,3.416762912963362e-153
50,50,0,1,T,2016,-0.060000000000000005,0.06,1.0,0.36585365853658536,8.010408225941303e-64
